2026-04-05 02:23:24.072 +07:00 [INF] HTTP GET /images/tours/fr5.jpg responded 404 in 1.9718 ms
2026-04-05 02:23:24.137 +07:00 [INF] HTTP GET /images/tours/pq1.jpg responded 304 in 18.5783 ms
2026-04-05 02:23:24.146 +07:00 [INF] HTTP GET /images/tours/pq2.jpg responded 404 in 1.4864 ms
2026-04-05 02:23:24.179 +07:00 [INF] HTTP GET /images/tours/pq3.jpg responded 404 in 0.9544 ms
2026-04-05 02:23:24.396 +07:00 [INF] HTTP GET /Admin/Order responded 200 in 920.5129 ms
2026-04-05 02:23:24.402 +07:00 [INF] HTTP GET /images/tours/pq4.jpg responded 404 in 1.6786 ms
2026-04-05 02:23:24.410 +07:00 [INF] HTTP GET /images/tours/pq5.jpg responded 404 in 0.8731 ms
2026-04-05 02:23:24.427 +07:00 [INF] HTTP GET /images/tours/dn1.jpg responded 304 in 10.6808 ms
2026-04-05 02:23:24.464 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 26.2201 ms
2026-04-05 02:23:24.487 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 11.3556 ms
2026-04-05 02:23:24.501 +07:00 [INF] HTTP GET /js/site.js responded 200 in 2.6905 ms
2026-04-05 02:23:24.509 +07:00 [INF] HTTP GET /images/tours/dn3.jpg responded 404 in 0.9743 ms
2026-04-05 02:23:24.515 +07:00 [INF] HTTP GET /images/tours/dn4.jpg responded 404 in 0.7978 ms
2026-04-05 02:23:24.524 +07:00 [INF] HTTP GET /images/tours/dn5.jpg responded 404 in 1.1223 ms
2026-04-05 02:23:24.540 +07:00 [INF] HTTP GET /images/tours/dl1.jpg responded 304 in 2.1939 ms
2026-04-05 02:23:24.561 +07:00 [INF] HTTP GET /css/site.css responded 200 in 4.3441 ms
2026-04-05 02:23:24.579 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 9.5875 ms
2026-04-05 02:23:24.581 +07:00 [INF] HTTP GET /images/tours/dn2.jpg responded 404 in 1.6321 ms
2026-04-05 02:23:27.258 +07:00 [INF] HTTP GET /Admin/Order/Details/2 responded 200 in 172.1616 ms
2026-04-05 02:23:27.296 +07:00 [INF] HTTP GET /css/site.css responded 200 in 19.7325 ms
2026-04-05 02:23:27.305 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 16.1977 ms
2026-04-05 02:23:27.305 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 25.5828 ms
2026-04-05 02:23:27.309 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 18.5273 ms
2026-04-05 02:23:27.312 +07:00 [INF] HTTP GET /js/site.js responded 200 in 14.6144 ms
2026-04-05 02:23:29.406 +07:00 [INF] HTTP GET /Admin/Order responded 200 in 57.7939 ms
2026-04-05 02:23:29.619 +07:00 [INF] HTTP GET /css/site.css responded 200 in 31.2025 ms
2026-04-05 02:23:29.632 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 37.6160 ms
2026-04-05 02:23:29.654 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 37.1789 ms
2026-04-05 02:23:29.656 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 68.5792 ms
2026-04-05 02:23:29.656 +07:00 [INF] HTTP GET /js/site.js responded 200 in 20.8138 ms
2026-04-05 02:23:31.379 +07:00 [INF] HTTP GET / responded 200 in 28.8806 ms
2026-04-05 02:23:31.395 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 0.5846 ms
2026-04-05 02:23:31.397 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 1.0306 ms
2026-04-05 02:23:31.399 +07:00 [INF] HTTP GET /css/site.css responded 200 in 5.2548 ms
2026-04-05 02:23:31.403 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 9.1730 ms
2026-04-05 02:23:31.403 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 1.0072 ms
2026-04-05 02:23:31.404 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 0.8418 ms
2026-04-05 02:23:31.419 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 4.1746 ms
2026-04-05 02:23:31.422 +07:00 [INF] HTTP GET /images/hinh-nen-viet-nam-4k25.jpg responded 304 in 1.5866 ms
2026-04-05 02:23:31.429 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 2.0282 ms
2026-04-05 02:23:31.443 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 8.1442 ms
2026-04-05 02:23:31.458 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 1.2292 ms
2026-04-05 02:23:31.475 +07:00 [INF] HTTP GET /js/site.js responded 200 in 6.1742 ms
2026-04-05 02:23:32.719 +07:00 [INF] Tìm kiếm tour với keyword: null, CategoryId: null
2026-04-05 02:23:32.756 +07:00 [INF] Tìm thấy 100 tour phù hợp
